Address,Type,Sorce,届出番号など,住宅宿泊施設名,Address Data
大田区西蒲田七丁目36番７－403号,住宅宿泊,78 第M130024774号西蒲田七丁目36番７－403号,M130024774,,大田区西蒲田七丁目36番７－403号
大田区西蒲田七丁目36番７－502号,住宅宿泊,79 第M130024775号西蒲田七丁目36番７－502号,M130024775,,大田区西蒲田七丁目36番７－502号
大田区蒲田本町二丁目７番15－101号,住宅宿泊,80 第M130009486号蒲田本町二丁目７番15－101号,M130009486,,大田区蒲田本町二丁目７番15－101号
大田区大森東一丁目１番13－101・102・201～203・301～303・401～403号,特区民泊,大森東一丁目１番13－101・102・201～203・301～303・401～403号,1 M-1 Tokyo 大森東,,大田区大森東一丁目１番13－101・102・201～203・301～303・401～403号
大田区大森東一丁目９番11－105号,特区民泊,大森東一丁目９番11－105号,2 VACATION INN 平和島Ⅰ ,,大田区大森東一丁目９番11－105号
大田区大森東二丁目１番８－102・201・202・206・301・305・306・401・406号,特区民泊,大森東二丁目１番８－102・201・202・206・301・305・306・401・406号,3 ID STAY 大森,,大田区大森東二丁目１番８－102・201・202・206・301・305・306・401・406号
大田区大森中一丁目３番３－201～203・301～303・401～403・501～503・601～603・701～703・801～803・901～903号,特区民泊,大森中一丁目３番３－201～203・301～303・401～403・501～503・601～603・701～703・801～803・901～903号,4 Maison PHILIPPE,,大田区大森中一丁目３番３－201～203・301～303・401～403・501～503・601～603・701～703・801～803・901～903号
大田区大森中一丁目７番17－903号,特区民泊,大森中一丁目７番17－903号,5 リヴシティ大森町903 ,,大田区大森中一丁目７番17－903号
大田区大森中一丁目７番17－503号,特区民泊,大森中一丁目７番17－503号,6 リヴシティ大森町 503号室,,大田区大森中一丁目７番17－503号
大田区大森西二丁目２番20号,特区民泊,大森西二丁目２番20号,7 TOKYO　HOUSE ,,大田区大森西二丁目２番20号
大田区大森中二丁目５番５号,特区民泊,大森中二丁目５番５号,8 AIG梅屋敷,,大田区大森中二丁目５番５号
大田区大森西二丁目12番19－101～103・105・106・201～203・205・206・301～303・305・306号,特区民泊,大森西二丁目12番19－101～103・105・106・201～203・205・206・301～303・305・306号,9 M-1 Tokyo 大森西２,,大田区大森西二丁目12番19－101～103・105・106・201～203・205・206・301～303・305・306号
大田区大森西二丁目25番13号,特区民泊,大森西二丁目25番13号,10 ＯＭＭ　ＳＴＡＹ ,,大田区大森西二丁目25番13号
大田区大森西三丁目４番16号,特区民泊,大森西三丁目４番16号,11 エスポワール大森町,,大田区大森西三丁目４番16号
大田区大森西三丁目13番13号,特区民泊,大森西三丁目13番13号,12 エアトリステイ大森町,,大田区大森西三丁目13番13号
大田区大森西三丁目21番９－202号,特区民泊,大森西三丁目21番９－202号,13 アズサ　ホーム　AZUSA Home ,,大田区大森西三丁目21番９－202号
大田区大森西三丁目27番11号(１階),特区民泊,大森西三丁目27番11号(１階),14 京縁001(kyoen 001) ,,大田区大森西三丁目27番11号(１階)
大田区大森西三丁目27番11号(２階),特区民泊,大森西三丁目27番11号(２階),15 京縁002(kyoen 002) ,,大田区大森西三丁目27番11号(２階)
大田区大森西四丁目３番20号,特区民泊,大森西四丁目３番20号,16 サンセイランディック コンセプトルーム,,大田区大森西四丁目３番20号
大田区大森西四丁目３番20号,特区民泊,大森西四丁目３番20号,17 サンセイランディック コンセプトルームⅡ ,,大田区大森西四丁目３番20号
大田区大森西四丁目12番13号（１階）,特区民泊,大森西四丁目12番13号（１階）,18 オニタビハウス,,大田区大森西四丁目12番13号（１階）
大田区大森西五丁目19番４－101～103・201～203・301～303号,特区民泊,大森西五丁目19番４－101～103・201～203・301～303号,19 M-1 Tokyo 大森西５ ,,大田区大森西五丁目19番４－101～103・201～203・301～303号
大田区大森西五丁目23番５号（１階・２階）,特区民泊,大森西五丁目23番５号（１階・２階）,20 UME5235 ,,大田区大森西五丁目23番５号（１階・２階）
大田区大森西六丁目12番５号（１階）,特区民泊,大森西六丁目12番５号（１階）,21 パークテラス緑の風,,大田区大森西六丁目12番５号（１階）
大田区大森北一丁目19番20－201・302号,特区民泊,大森北一丁目19番20－201・302号,22 パークレジデンス大森,,大田区大森北一丁目19番20－201・302号
大田区大森北二丁目４番７号（３階）,特区民泊,大森北二丁目４番７号（３階）,23 MY Tokyo Home Omori♯1 ,,大田区大森北二丁目４番７号（３階）
大田区大森北二丁目５番７－201号,特区民泊,大森北二丁目５番７－201号,24 ID STAY 大森２ ,,大田区大森北二丁目５番７－201号
大田区大森北六丁目１番８号（１階）,特区民泊,大森北六丁目１番８号（１階）,25 BEST　HOUSE ,,大田区大森北六丁目１番８号（１階）
